latitud_accidente,longitud_accidente,tipo_accidente,gravedad,fecha_siniestro,cantón,provincia,clima,numero_victimas
-3.541101,-78.998962,vuelco,grave,2024-10-24 17:18:07,Cuenca,Tungurahua,lluvia,2
-4.369182,-79.785898,vuelco,leve,2025-09-26 21:22:59,Guayaquil,Azuay,lluvia,4
-4.475946,-75.149536,choque,grave,2023-05-31 04:40:14,Ambato,Santo Domingo de los Tsáchilas,lluvia,1
-1.8341,-75.670447,colisión múltiple,leve,2024-12-26 13:48:23,Cuenca,Tungurahua,nublado,1
-1.12528,-77.269929,choque,fatal,2023-01-21 16:19:46,Cuenca,Azuay,niebla,5
-2.657082,-78.794503,vuelco,leve,2024-06-08 11:36:51,Cuenca,Loja,nublado,4
-2.034565,-76.913446,vuelco,grave,2024-10-07 08:27:48,Cuenca,El Oro,niebla,2
-3.016551,-77.993567,atropello,leve,2025-03-03 05:03:43,Manta,Azuay,soleado,4
1.547804,-80.912468,vuelco,fatal,2023-05-29 20:00:54,Cuenca,Loja,niebla,2
0.053359,-79.641309,choque,leve,2025-07-14 06:07:02,Machala,Tungurahua,niebla,4
-2.662482,-76.230667,colisión múltiple,grave,2024-09-27 00:59:27,Cuenca,Tungurahua,niebla,2
0.92813,-79.225597,colisión múltiple,fatal,2023-09-08 07:00:04,Loja,El Oro,lluvia,2
-1.799489,-79.204639,colisión múltiple,fatal,2025-04-28 10:06:24,Santo Domingo,Loja,lluvia,5
1.085066,-76.288794,choque,grave,2023-08-29 12:42:45,Cuenca,Azuay,lluvia,2
-2.75098,-78.745429,vuelco,fatal,2023-04-22 04:13:16,Cuenca,Azuay,niebla,2
0.862335,-76.853611,atropello,fatal,2023-06-12 12:57:08,Cuenca,Azuay,nublado,2
-2.265789,-80.961387,atropello,fatal,2024-01-13 17:56:08,Santo Domingo,Loja,soleado,3
-1.965175,-80.420221,atropello,grave,2023-01-22 04:35:35,Cuenca,Azuay,lluvia,5
-2.21787,-75.421128,colisión múltiple,fatal,2023-10-14 21:06:38,Loja,Azuay,soleado,4
-2.154202,-77.707023,vuelco,fatal,2024-12-27 19:43:36,Cuenca,Azuay,lluvia,4
-2.650043,-80.542265,vuelco,leve,2025-03-18 06:36:47,Guayaquil,Azuay,niebla,4
1.566655,-75.160192,choque,leve,2023-07-12 04:33:16,Cuenca,Pichincha,lluvia,3
-4.225242,-80.43654,colisión múltiple,grave,2025-10-31 05:09:36,Guayaquil,Loja,niebla,2
1.126699,-79.414421,colisión múltiple,fatal,2025-01-05 05:20:39,Cuenca,Azuay,nublado,1
-0.140632,-77.291467,vuelco,fatal,2023-10-28 19:48:02,Loja,Azuay,niebla,4
0.554014,-80.30856,vuelco,grave,2023-03-27 00:31:22,Santo Domingo,Azuay,niebla,4
0.361055,-77.281258,choque,grave,2025-10-26 02:02:21,Ambato,Azuay,soleado,1
-0.489293,-76.436668,vuelco,grave,2025-09-06 13:28:02,Loja,Pichincha,niebla,1
-1.723545,-75.291243,choque,fatal,2024-10-19 02:21:04,Cuenca,Azuay,soleado,2
-1.123726,-78.149433,choque,grave,2025-04-19 21:57:11,Cuenca,Azuay,nublado,1
1.096438,-80.216352,colisión múltiple,fatal,2024-03-27 20:13:06,Loja,Tungurahua,niebla,2
-3.064215,-75.887207,vuelco,fatal,2024-01-25 12:09:03,Manta,Tungurahua,nublado,4
-1.962185,-77.558295,atropello,fatal,2025-09-23 03:11:19,Cuenca,Loja,nublado,3
-0.55706,-77.021979,atropello,fatal,2025-11-01 08:30:22,Machala,Azuay,niebla,3
0.042589,-79.326867,choque,grave,2025-07-23 07:14:15,Loja,El Oro,nublado,4
-2.069099,-76.677279,atropello,fatal,2023-04-22 21:18:29,Guayaquil,Guayas,lluvia,3
0.851043,-79.95611,choque,leve,2024-12-29 18:06:34,Cuenca,Tungurahua,lluvia,5
-3.718083,-76.061728,atropello,fatal,2025-04-08 05:48:39,Loja,Loja,lluvia,5
-4.801532,-78.301572,vuelco,fatal,2023-10-16 08:31:38,Cuenca,Azuay,nublado,2
-1.151108,-80.650239,choque,fatal,2023-03-27 14:11:54,Cuenca,Azuay,niebla,4
-0.686491,-75.464571,colisión múltiple,grave,2025-10-18 19:48:26,Cuenca,Loja,soleado,2
-3.981865,-80.621039,atropello,leve,2025-08-15 09:35:49,Guayaquil,Azuay,nublado,1
-1.70194,-80.306364,atropello,leve,2025-07-23 20:32:30,Cuenca,Loja,lluvia,4
1.764898,-76.046886,colisión múltiple,fatal,2025-05-30 04:15:18,Cuenca,Azuay,nublado,1
-2.616398,-78.67716,atropello,leve,2024-11-28 04:19:58,Manta,Azuay,lluvia,1
1.656988,-75.382363,vuelco,leve,2025-05-07 20:17:01,Cuenca,Pichincha,nublado,5
-0.424573,-75.412427,choque,grave,2025-11-01 08:17:42,Cuenca,Azuay,soleado,2
-2.485269,-77.930689,choque,fatal,2023-07-30 07:04:20,Machala,Azuay,nublado,1
-1.056738,-77.485592,vuelco,grave,2025-05-03 14:57:19,Cuenca,Manabí,lluvia,2
-0.037898,-77.590671,atropello,fatal,2025-11-16 13:59:10,Cuenca,Azuay,soleado,5
-2.307778,-76.673205,atropello,fatal,2024-09-10 23:45:24,Loja,Azuay,lluvia,1
-4.242744,-76.114677,atropello,leve,2024-04-20 06:31:52,Cuenca,Guayas,lluvia,2
0.300276,-75.588722,choque,fatal,2023-01-08 12:24:32,Quito,Azuay,lluvia,5
-3.176138,-77.284505,colisión múltiple,fatal,2023-06-08 14:24:45,Manta,Azuay,lluvia,1
-2.227714,-76.306213,choque,leve,2024-06-08 12:23:07,Guayaquil,Azuay,soleado,3
0.015172,-75.4335,colisión múltiple,grave,2023-11-12 22:57:31,Santo Domingo,Loja,niebla,4
-2.611524,-76.176432,vuelco,grave,2024-04-23 22:06:09,Cuenca,Loja,niebla,3
-0.885234,-80.595796,vuelco,fatal,2023-10-27 08:30:05,Cuenca,Azuay,niebla,5
-3.661727,-79.574743,vuelco,leve,2025-11-25 18:45:39,Loja,Loja,soleado,2
-2.057513,-79.15879,vuelco,leve,2025-06-23 01:12:15,Cuenca,Azuay,niebla,4
-0.024651,-79.302062,colisión múltiple,grave,2023-08-11 04:54:54,Quito,Pichincha,niebla,5
-3.849096,-78.198926,vuelco,leve,2023-02-13 19:40:08,Cuenca,Pichincha,soleado,2
-4.632678,-77.367918,vuelco,fatal,2025-06-11 02:43:30,Loja,Azuay,soleado,3
-0.934982,-75.369996,choque,fatal,2023-03-18 02:34:46,Santo Domingo,Azuay,soleado,2
0.748321,-80.968868,vuelco,leve,2024-08-25 07:32:03,Cuenca,Tungurahua,niebla,4
1.575989,-77.965216,vuelco,leve,2025-02-18 00:27:25,Loja,Tungurahua,soleado,4
-4.746144,-77.342799,choque,leve,2023-09-24 05:38:31,Cuenca,Loja,niebla,3
0.67063,-80.929781,vuelco,grave,2025-10-04 00:25:47,Cuenca,Azuay,lluvia,2
-3.787341,-78.749076,atropello,leve,2025-09-08 04:38:31,Guayaquil,Loja,nublado,5
1.388458,-76.618574,colisión múltiple,grave,2025-07-21 17:19:53,Cuenca,El Oro,nublado,2
-0.777988,-79.037739,atropello,leve,2023-04-15 13:42:57,Cuenca,Azuay,soleado,2
-4.99486,-80.9029,vuelco,leve,2023-03-01 21:05:10,Manta,Azuay,niebla,5
-0.223262,-77.83258,choque,fatal,2025-09-08 19:26:54,Loja,Santo Domingo de los Tsáchilas,soleado,1
-3.590945,-77.416556,choque,fatal,2023-01-04 00:26:14,Loja,Manabí,niebla,3
-4.382506,-76.657614,colisión múltiple,leve,2025-12-02 09:51:14,Cuenca,Azuay,lluvia,4
-3.22069,-79.876131,choque,leve,2024-12-29 08:47:04,Cuenca,Azuay,nublado,2
-4.206883,-78.261288,atropello,grave,2025-11-15 09:17:31,Cuenca,Azuay,nublado,5
-2.665504,-79.475654,atropello,fatal,2023-03-22 16:55:49,Cuenca,Azuay,nublado,5
-3.10963,-78.146427,atropello,leve,2023-02-26 17:33:00,Cuenca,Loja,nublado,3
-4.805226,-77.239825,colisión múltiple,grave,2023-02-09 13:37:40,Cuenca,Azuay,niebla,2
0.33892,-78.73076,choque,fatal,2023-11-03 03:04:49,Cuenca,Loja,lluvia,1
-0.661921,-77.239875,atropello,leve,2024-06-11 02:52:22,Cuenca,Azuay,lluvia,2
-0.794472,-79.635681,choque,grave,2025-01-17 10:29:49,Cuenca,Loja,lluvia,1
0.238659,-79.664294,atropello,fatal,2024-09-21 03:15:56,Machala,Azuay,nublado,2
-4.226388,-77.035361,choque,grave,2023-09-09 22:49:22,Cuenca,Tungurahua,soleado,1
-3.027083,-75.215095,colisión múltiple,leve,2024-02-05 09:16:29,Manta,Azuay,nublado,1
0.463525,-80.415895,choque,fatal,2023-01-18 00:51:34,Cuenca,Azuay,niebla,4
0.582603,-77.318864,choque,leve,2024-11-19 05:00:26,Cuenca,Azuay,lluvia,5
-3.246046,-76.947323,vuelco,fatal,2025-07-27 10:32:56,Cuenca,Azuay,soleado,2
-2.172569,-75.305721,vuelco,grave,2024-07-22 14:44:14,Santo Domingo,Azuay,soleado,2
0.604035,-77.391408,colisión múltiple,grave,2025-05-27 08:34:30,Cuenca,El Oro,nublado,3
1.277569,-79.795656,choque,fatal,2024-11-06 15:37:14,Cuenca,Azuay,lluvia,4
-2.624793,-76.794723,atropello,grave,2024-07-14 15:02:19,Loja,Azuay,nublado,2
-3.666228,-77.514622,colisión múltiple,leve,2023-01-15 09:38:01,Santo Domingo,Azuay,nublado,2
-3.350213,-80.404039,atropello,fatal,2024-05-18 14:58:07,Loja,Azuay,nublado,4
-0.173211,-77.305529,choque,grave,2023-06-26 12:02:48,Quito,Loja,lluvia,3
-0.832266,-75.140778,vuelco,fatal,2025-03-27 16:42:15,Guayaquil,Azuay,nublado,3
-1.923015,-80.920043,choque,grave,2024-11-11 05:32:35,Loja,Azuay,nublado,4
-3.072446,-80.618457,vuelco,grave,2025-12-10 06:51:48,Cuenca,Loja,nublado,3
1.698983,-77.150934,vuelco,grave,2023-07-30 17:55:57,Guayaquil,Loja,nublado,2
-1.430417,-77.887618,atropello,leve,2025-11-09 06:56:38,Cuenca,Manabí,lluvia,4
1.863993,-80.944997,choque,leve,2025-01-27 09:29:07,Cuenca,Manabí,niebla,3
-0.266566,-78.698532,atropello,grave,2024-10-06 10:06:53,Cuenca,Loja,nublado,5
-2.289461,-76.958205,atropello,fatal,2025-05-09 03:43:13,Loja,Azuay,niebla,3
-2.580798,-80.736979,vuelco,fatal,2025-06-02 06:11:15,Machala,Loja,soleado,1
-4.013505,-80.223072,choque,grave,2024-07-10 22:42:31,Cuenca,Azuay,niebla,3
1.271136,-77.069801,choque,leve,2024-09-10 06:37:05,Loja,Azuay,lluvia,2
-3.590066,-79.852928,colisión múltiple,grave,2025-01-30 06:55:45,Cuenca,Azuay,soleado,2
-4.759117,-75.919623,vuelco,grave,2023-12-28 15:19:12,Cuenca,Santo Domingo de los Tsáchilas,niebla,4
-1.398897,-75.533011,atropello,fatal,2024-07-20 23:27:59,Manta,Azuay,soleado,3
-1.908071,-75.188313,choque,leve,2023-06-17 06:21:57,Manta,Loja,soleado,3
-3.163591,-80.40717,atropello,grave,2025-02-16 02:23:03,Loja,Loja,niebla,2
-0.044321,-76.347077,choque,fatal,2024-12-07 13:39:54,Loja,Azuay,soleado,1
-1.588393,-78.552882,atropello,fatal,2024-11-25 20:07:17,Cuenca,Azuay,soleado,4
-3.625673,-77.639291,colisión múltiple,fatal,2023-09-12 13:58:32,Loja,Manabí,nublado,2
-2.30574,-76.263395,choque,fatal,2024-12-26 15:19:56,Cuenca,Azuay,niebla,1
0.257581,-80.739345,vuelco,grave,2023-01-01 22:01:54,Loja,Azuay,niebla,3
-3.755421,-75.758842,atropello,grave,2025-04-15 10:48:30,Ambato,Azuay,niebla,4
0.302606,-76.17169,vuelco,grave,2024-09-11 00:18:10,Machala,Loja,lluvia,3
-4.41596,-75.002637,choque,leve,2024-03-25 06:25:56,Cuenca,Santo Domingo de los Tsáchilas,lluvia,1
-2.932765,-77.783666,atropello,grave,2024-01-01 05:27:45,Manta,Azuay,soleado,1
0.440503,-75.318496,atropello,leve,2024-09-25 22:41:39,Guayaquil,Loja,niebla,3
0.03535,-80.087563,atropello,fatal,2024-02-18 21:03:50,Cuenca,Azuay,lluvia,3
-0.432925,-80.268354,choque,fatal,2024-05-01 22:29:47,Cuenca,El Oro,niebla,4
1.572108,-76.953018,choque,grave,2023-02-01 15:46:15,Cuenca,Loja,niebla,1
0.420802,-80.824422,atropello,grave,2023-12-09 02:32:10,Guayaquil,Santo Domingo de los Tsáchilas,lluvia,2
0.899187,-76.277131,vuelco,fatal,2023-11-24 03:40:11,Cuenca,Santo Domingo de los Tsáchilas,nublado,2
0.57444,-76.529739,colisión múltiple,fatal,2023-10-12 15:51:24,Machala,Guayas,soleado,2
-1.551557,-77.045718,vuelco,fatal,2023-07-22 23:29:41,Cuenca,Azuay,soleado,3
-1.254358,-76.717184,colisión múltiple,leve,2024-06-22 13:28:45,Loja,El Oro,nublado,1
0.849151,-78.51994,atropello,leve,2025-10-24 07:18:56,Cuenca,Santo Domingo de los Tsáchilas,niebla,5
-2.391757,-79.722616,vuelco,leve,2025-03-08 14:40:34,Cuenca,Azuay,lluvia,3
0.047816,-77.245797,vuelco,grave,2024-01-26 04:09:03,Cuenca,Loja,lluvia,1
-0.121954,-76.844137,vuelco,fatal,2025-04-22 19:15:23,Loja,Azuay,nublado,3
-0.615123,-78.430744,atropello,fatal,2024-10-30 10:23:53,Cuenca,Azuay,soleado,4
-3.958966,-76.889532,colisión múltiple,fatal,2023-08-17 02:18:07,Cuenca,Loja,niebla,3
-0.204524,-76.462368,choque,leve,2023-02-09 13:48:50,Cuenca,Loja,soleado,1
-4.489208,-79.070914,choque,leve,2025-12-23 11:11:10,Cuenca,Pichincha,niebla,4
0.809696,-77.162302,atropello,leve,2023-06-23 12:41:20,Cuenca,Loja,soleado,5
1.355851,-78.171099,atropello,leve,2024-08-07 06:17:24,Quito,Azuay,nublado,3
-4.781294,-79.152403,atropello,grave,2023-06-21 04:48:46,Loja,Azuay,lluvia,2
-3.636857,-77.375929,vuelco,grave,2023-08-11 22:16:49,Cuenca,Santo Domingo de los Tsáchilas,lluvia,2
-4.271178,-77.847977,vuelco,fatal,2023-05-31 04:37:47,Manta,Loja,nublado,3
-2.422101,-78.816806,colisión múltiple,grave,2024-10-29 00:06:41,Guayaquil,Azuay,lluvia,5
-1.780617,-80.015063,choque,grave,2025-03-14 19:05:29,Cuenca,Loja,niebla,2
-3.771631,-75.258177,atropello,leve,2024-12-26 07:10:26,Loja,Azuay,lluvia,1
-4.925208,-76.444209,colisión múltiple,leve,2025-07-18 00:39:46,Cuenca,Azuay,soleado,1
-4.589497,-79.840587,vuelco,fatal,2023-11-12 06:12:52,Loja,Pichincha,lluvia,4
-4.915018,-78.547632,choque,fatal,2025-04-15 05:41:10,Cuenca,Loja,niebla,1
1.740623,-77.711395,choque,grave,2024-12-05 15:54:40,Cuenca,Azuay,nublado,2
-0.292589,-78.866234,colisión múltiple,grave,2025-06-15 18:22:20,Cuenca,Loja,niebla,4
-4.976341,-77.435754,choque,fatal,2025-05-15 12:48:23,Guayaquil,Azuay,niebla,1
1.072299,-80.192324,choque,leve,2025-09-24 19:22:27,Loja,Pichincha,nublado,4
-3.798494,-78.180823,colisión múltiple,grave,2025-12-29 05:37:39,Cuenca,Azuay,nublado,2
-0.628083,-80.156647,colisión múltiple,grave,2025-10-02 09:33:26,Loja,Azuay,nublado,5
-1.001032,-79.094766,choque,leve,2023-02-23 00:29:58,Santo Domingo,Loja,lluvia,4
-3.12812,-75.53605,vuelco,leve,2023-08-18 19:21:56,Guayaquil,El Oro,lluvia,4
-4.969172,-77.188269,vuelco,fatal,2024-04-16 05:27:13,Loja,Azuay,soleado,3
-1.189367,-75.959934,colisión múltiple,leve,2025-07-12 07:44:16,Cuenca,Azuay,nublado,5
-1.434158,-78.731014,choque,leve,2025-07-25 16:01:28,Cuenca,Manabí,nublado,1
-4.913933,-78.342741,colisión múltiple,leve,2024-08-03 17:47:15,Loja,Azuay,lluvia,5
-2.410173,-75.729804,atropello,fatal,2023-04-03 10:24:52,Cuenca,Santo Domingo de los Tsáchilas,soleado,2
-2.347852,-80.120743,colisión múltiple,fatal,2024-12-29 05:28:43,Cuenca,Loja,lluvia,4
-2.602631,-77.39324,choque,fatal,2025-03-16 23:08:10,Cuenca,Tungurahua,nublado,5
-4.349908,-75.251541,colisión múltiple,fatal,2024-09-22 19:15:42,Cuenca,Azuay,niebla,4
-1.238232,-76.024625,vuelco,grave,2024-05-18 12:22:56,Guayaquil,Azuay,niebla,4
1.588401,-77.291586,vuelco,grave,2025-04-19 14:43:40,Cuenca,Tungurahua,lluvia,3
-3.852416,-76.600003,choque,fatal,2024-04-15 21:19:10,Loja,Azuay,niebla,2
-0.620711,-80.207793,choque,leve,2024-04-19 09:49:16,Cuenca,Azuay,soleado,5
1.305251,-80.007415,atropello,leve,2025-04-20 20:19:33,Cuenca,Azuay,lluvia,4
-2.574505,-76.419194,vuelco,grave,2024-11-16 11:06:14,Loja,Loja,soleado,3
-2.278496,-78.86622,vuelco,fatal,2025-02-03 18:34:15,Cuenca,Tungurahua,nublado,4
1.782674,-78.240347,choque,fatal,2025-12-28 05:56:21,Cuenca,Loja,nublado,2
-2.503584,-75.576903,choque,leve,2023-11-13 00:36:12,Quito,Azuay,soleado,3
-4.775746,-75.874148,atropello,grave,2025-03-29 13:38:55,Loja,Tungurahua,nublado,4
-0.53988,-80.98959,vuelco,grave,2023-12-13 02:13:36,Loja,Manabí,nublado,2
0.269671,-77.271863,atropello,fatal,2023-07-13 00:44:08,Cuenca,Loja,niebla,1
-4.421455,-80.117481,colisión múltiple,leve,2025-02-04 18:47:27,Cuenca,Santo Domingo de los Tsáchilas,niebla,2
-3.585002,-78.192898,vuelco,leve,2024-01-07 05:29:01,Ambato,Pichincha,lluvia,3
1.508766,-78.459647,atropello,grave,2025-04-29 18:49:06,Cuenca,El Oro,niebla,1
-2.900127,-76.948895,vuelco,fatal,2024-09-14 11:51:18,Manta,Tungurahua,soleado,3
