id,fecha,hora,tipo_accidente,provincia,ciudad,direccion,latitud,longitud,estado,victimas,heridos,vehiculos_involucrados,condicion_clima,condicion_via
35,2025-06-25,19:52,Salida de vía,Azuay,Cuenca,"Calle Ordóñez y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9426449,-78.9572113,ARCHIVADO,1,2,3,Despejado,Regular
36,2025-06-19,02:45,Choque con objeto fijo,Azuay,Cuenca,"Calle Bolívar sector norte, Cuenca, Azuay, Ecuador",-2.8728755,-79.0360284,CERRADO,1,1,1,Despejado,Regular
37,2025-04-14,10:34,Colisión múltiple,Guayas,Guayaquil,"Av. 10 de Agosto y Calle Solano, Guayaquil, Guayas, Ecuador",-2.2685165,-79.8378262,EN_INVESTIGACION,2,1,2,Lluvia,Buena
38,2025-09-03,00:22,Choque con objeto fijo,Manabí,Manta,"Av. 10 de Agosto sector sur, Manta, Manabí, Ecuador",-0.9552886,-80.6951596,EN_INVESTIGACION,1,0,2,Despejado,Regular
39,2025-08-15,04:39,Colisión frontal,Guayas,Guayaquil,"Av. 10 de Agosto centro histórico, Guayaquil, Guayas, Ecuador",-2.1459967,-79.9564529,REPORTADO,0,1,3,Despejado,Buena
40,2024-11-22,12:17,Salida de vía,Azuay,Cuenca,"Av. España y Calle Solano, Cuenca, Azuay, Ecuador",-2.9142534,-79.0443131,ARCHIVADO,0,1,4,Despejado,Regular
41,2023-03-05,07:12,Colisión frontal,Guayas,Guayaquil,"Av. Loja y Av. González Suárez, Guayaquil, Guayas, Ecuador",-2.1313035,-79.8685723,EN_INVESTIGACION,1,0,3,Cubierto,Buena
42,2023-08-23,05:19,Colisión lateral,Azuay,Cuenca,"Av. Principal sector norte, Cuenca, Azuay, Ecuador",-2.9170102,-79.0495442,ARCHIVADO,1,2,1,Cubierto,Regular
43,2023-09-05,18:50,Colisión frontal,Azuay,Cuenca,"Calle Sucre centro histórico, Cuenca, Azuay, Ecuador",-2.9190018,-79.0233817,ARCHIVADO,2,0,2,Despejado,Buena
44,2025-01-11,20:57,Colisión múltiple,Azuay,Cuenca,"Av. Loja sector sur, Cuenca, Azuay, Ecuador",-2.8771394,-78.9921443,EN_INVESTIGACION,2,4,1,Lluvia,Regular
45,2024-07-03,10:54,Volcamiento,Azuay,Cuenca,"Calle Central sector norte, Cuenca, Azuay, Ecuador",-2.8613787,-79.0086785,ARCHIVADO,1,1,2,Despejado,Buena
46,2024-03-10,11:51,Choque con objeto fijo,Pichincha,Quito,"Calle Sucre sector norte, Quito, Pichincha, Ecuador",-0.2415649,-78.4336808,CERRADO,1,1,1,Despejado,Buena
47,2025-09-02,20:45,Colisión múltiple,Azuay,Cuenca,"Calle Ordóñez y Calle Solano, Cuenca, Azuay, Ecuador",-2.8740215,-78.9997723,REPORTADO,1,1,1,Cubierto,Buena
48,2024-11-08,11:44,Colisión múltiple,Azuay,Cuenca,"Av. España sector norte, Cuenca, Azuay, Ecuador",-2.8730033,-79.0065204,CERRADO,1,2,2,Cubierto,Mala
49,2025-09-18,08:46,Choque con objeto fijo,Azuay,Cuenca,"Calle Central y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8978267,-79.0131459,CERRADO,1,0,1,Cubierto,Buena
50,2023-09-16,20:55,Colisión múltiple,Loja,Loja,"Calle Central y Calle Solano, Loja, Loja, Ecuador",-4.0214749,-79.2275265,CERRADO,1,1,1,Despejado,Mala
51,2025-03-31,15:04,Colisión frontal,Azuay,Cuenca,"Av. Loja y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9469571,-78.992259,CERRADO,0,0,2,Cubierto,Regular
52,2025-02-18,14:58,Colisión múltiple,Azuay,Cuenca,"Av. España centro histórico, Cuenca, Azuay, Ecuador",-2.9186644,-79.0050429,ARCHIVADO,1,1,2,Cubierto,Mala
53,2023-06-16,05:15,Atropello,Azuay,Cuenca,"Calle Central y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8593434,-79.0309708,REPORTADO,1,2,2,Despejado,Buena
54,2023-05-26,21:14,Choque con objeto fijo,Azuay,Gualaceo,"Calle Bolívar sector sur, Gualaceo, Azuay, Ecuador",-2.9012847,-78.766478,REPORTADO,1,1,3,Lluvia,Buena
55,2024-08-14,14:07,Colisión múltiple,Azuay,Cuenca,"Av. España parque industrial, Cuenca, Azuay, Ecuador",-2.9272202,-79.048202,ARCHIVADO,3,1,2,Despejado,Buena
56,2024-05-27,00:05,Volcamiento,Azuay,Cuenca,"Av. Principal parque industrial, Cuenca, Azuay, Ecuador",-2.9211249,-79.0397779,CERRADO,1,2,1,Cubierto,Buena
57,2025-06-11,20:52,Colisión múltiple,Azuay,Sigsig,"Calle Central sector sur, Sigsig, Azuay, Ecuador",-3.0371091,-78.7907564,CERRADO,1,1,1,Despejado,Buena
58,2025-03-31,17:02,Colisión múltiple,Azuay,Cuenca,"Calle Central sector norte, Cuenca, Azuay, Ecuador",-2.8867596,-78.9687539,CERRADO,1,4,2,Cubierto,Mala
59,2025-04-26,01:12,Caída de pasajero,Azuay,Cuenca,"Calle Ordóñez parque industrial, Cuenca, Azuay, Ecuador",-2.8697328,-79.037243,ARCHIVADO,2,0,2,Lluvia,Buena
60,2024-05-05,22:10,Choque con objeto fijo,Azuay,Cuenca,"Av. Principal centro histórico, Cuenca, Azuay, Ecuador",-2.8608441,-79.0019658,ARCHIVADO,0,4,3,Cubierto,Buena
61,2024-08-20,16:45,Choque con objeto fijo,Pichincha,Quito,"Av. 10 de Agosto sector sur, Quito, Pichincha, Ecuador",-0.1315096,-78.4044254,ARCHIVADO,1,1,2,Lluvia,Regular
62,2024-07-19,13:21,Choque con objeto fijo,Pichincha,Quito,"Av. Principal sector norte, Quito, Pichincha, Ecuador",-0.2098194,-78.5301917,CERRADO,2,1,2,Lluvia,Buena
63,2025-02-11,14:59,Caída de pasajero,Azuay,Cuenca,"Calle Bolívar parque industrial, Cuenca, Azuay, Ecuador",-2.9273065,-79.0131892,EN_INVESTIGACION,1,0,2,Despejado,Regular
64,2025-03-01,21:50,Atropello,Guayas,Guayaquil,"Calle Ordóñez y Calle Solano, Guayaquil, Guayas, Ecuador",-2.1385176,-79.8305831,EN_INVESTIGACION,1,1,3,Lluvia,Buena
65,2023-10-23,13:55,Atropello,Azuay,Cuenca,"Calle Central sector sur, Cuenca, Azuay, Ecuador",-2.9494048,-79.0048253,CERRADO,1,2,2,Lluvia,Mala
66,2024-10-10,20:45,Colisión múltiple,Pichincha,Quito,"Av. Principal centro histórico, Quito, Pichincha, Ecuador",-0.1939142,-78.5122628,REPORTADO,1,2,1,Despejado,Buena
67,2023-07-25,14:10,Choque con objeto fijo,Loja,Loja,"Av. Principal y Calle Solano, Loja, Loja, Ecuador",-4.0158081,-79.2137431,CERRADO,2,0,2,Despejado,Regular
68,2023-12-15,05:05,Salida de vía,Azuay,Cuenca,"Calle Bolívar sector sur, Cuenca, Azuay, Ecuador",-2.855809,-79.0235797,EN_INVESTIGACION,1,1,2,Cubierto,Mala
69,2023-11-20,02:28,Caída de pasajero,Azuay,Cuenca,"Av. España parque industrial, Cuenca, Azuay, Ecuador",-2.8982209,-78.9855981,ARCHIVADO,2,1,2,Neblina,Mala
70,2025-01-05,18:18,Choque con objeto fijo,Azuay,Cuenca,"Av. Principal parque industrial, Cuenca, Azuay, Ecuador",-2.913737,-78.9587218,ARCHIVADO,1,1,2,Cubierto,Buena
71,2024-08-09,07:38,Caída de pasajero,Azuay,Cuenca,"Calle Bolívar parque industrial, Cuenca, Azuay, Ecuador",-2.8538553,-79.0307218,EN_INVESTIGACION,2,2,2,Cubierto,Regular
72,2023-03-22,09:50,Colisión múltiple,Azuay,Gualaceo,"Av. Principal centro histórico, Gualaceo, Azuay, Ecuador",-2.8978101,-78.7846649,CERRADO,2,0,1,Cubierto,Buena
73,2025-01-19,16:32,Choque con objeto fijo,Azuay,Cuenca,"Av. Loja sector norte, Cuenca, Azuay, Ecuador",-2.921616,-79.0522113,ARCHIVADO,4,0,3,Lluvia,Buena
74,2024-04-07,21:46,Salida de vía,Azuay,Cuenca,"Calle Sucre y Calle Solano, Cuenca, Azuay, Ecuador",-2.8891436,-79.0056321,ARCHIVADO,0,1,2,Cubierto,Regular
75,2025-01-30,03:43,Volcamiento,Azuay,Cuenca,"Calle Ordóñez y Calle Solano, Cuenca, Azuay, Ecuador",-2.9449521,-79.0280354,CERRADO,3,0,1,Lluvia,Mala
76,2023-10-14,01:02,Choque con objeto fijo,Azuay,Cuenca,"Calle Ordóñez y Calle Solano, Cuenca, Azuay, Ecuador",-2.8592734,-79.0319438,REPORTADO,1,1,2,Despejado,Mala
77,2023-11-13,13:41,Colisión lateral,Azuay,Cuenca,"Calle Ordóñez centro histórico, Cuenca, Azuay, Ecuador",-2.9356105,-79.0069547,ARCHIVADO,3,0,2,Despejado,Buena
78,2025-01-22,17:57,Caída de pasajero,Azuay,Cuenca,"Av. Principal sector sur, Cuenca, Azuay, Ecuador",-2.851535,-79.0316945,CERRADO,0,0,3,Cubierto,Regular
79,2023-02-13,01:50,Caída de pasajero,Azuay,Cuenca,"Calle Bolívar y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8828864,-78.979738,EN_INVESTIGACION,0,2,1,Despejado,Mala
80,2023-01-06,08:54,Atropello,Azuay,Cuenca,"Av. Loja centro histórico, Cuenca, Azuay, Ecuador",-2.9263362,-78.9830784,CERRADO,2,0,3,Despejado,Buena
81,2023-02-02,05:16,Colisión frontal,Guayas,Guayaquil,"Av. Loja parque industrial, Guayaquil, Guayas, Ecuador",-2.2105547,-79.8671311,ARCHIVADO,1,2,2,Lluvia,Regular
82,2023-03-30,23:50,Choque con objeto fijo,Azuay,Cuenca,"Calle Ordóñez parque industrial, Cuenca, Azuay, Ecuador",-2.886747,-79.0023225,REPORTADO,0,1,2,Cubierto,Buena
83,2023-06-15,10:38,Atropello,Manabí,Manta,"Calle Central y Av. González Suárez, Manta, Manabí, Ecuador",-0.9922826,-80.6887819,CERRADO,2,1,2,Despejado,Regular
84,2025-05-31,03:50,Colisión lateral,Azuay,Cuenca,"Calle Bolívar sector sur, Cuenca, Azuay, Ecuador",-2.918022,-79.0372481,ARCHIVADO,3,1,3,Despejado,Regular
85,2024-06-06,11:09,Colisión múltiple,Azuay,Cuenca,"Calle Central y Calle Solano, Cuenca, Azuay, Ecuador",-2.9460225,-78.9968107,REPORTADO,0,0,2,Lluvia,Regular
86,2024-11-06,21:07,Salida de vía,Azuay,Cuenca,"Calle Sucre parque industrial, Cuenca, Azuay, Ecuador",-2.8823436,-79.0542412,ARCHIVADO,3,2,4,Cubierto,Buena
87,2025-09-14,07:54,Colisión lateral,Azuay,Cuenca,"Calle Sucre centro histórico, Cuenca, Azuay, Ecuador",-2.8988907,-79.0332504,CERRADO,0,0,1,Cubierto,Regular
88,2023-02-23,19:59,Choque con objeto fijo,Guayas,Guayaquil,"Av. Principal y Av. González Suárez, Guayaquil, Guayas, Ecuador",-2.1661724,-79.9404014,CERRADO,2,1,2,Despejado,Mala
89,2023-10-18,23:40,Colisión frontal,Azuay,Cuenca,"Calle Central parque industrial, Cuenca, Azuay, Ecuador",-2.8810062,-79.0172265,EN_INVESTIGACION,1,1,1,Despejado,Buena
90,2023-04-18,04:10,Colisión frontal,El Oro,Machala,"Calle Central sector norte, Machala, El Oro, Ecuador",-3.2318962,-79.9770487,ARCHIVADO,2,1,2,Despejado,Regular
91,2024-08-03,21:43,Colisión múltiple,Azuay,Cuenca,"Av. España y Calle Solano, Cuenca, Azuay, Ecuador",-2.9159934,-79.0445526,EN_INVESTIGACION,1,1,1,Despejado,Buena
92,2024-11-02,03:00,Colisión múltiple,Azuay,Cuenca,"Av. 10 de Agosto y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8576306,-78.9681661,EN_INVESTIGACION,1,2,2,Lluvia,Regular
93,2023-03-28,13:01,Colisión múltiple,Azuay,Gualaceo,"Calle Central sector norte, Gualaceo, Azuay, Ecuador",-2.9073823,-78.7703006,ARCHIVADO,1,2,2,Despejado,Buena
94,2025-07-31,22:58,Caída de pasajero,Azuay,Cuenca,"Calle Central sector sur, Cuenca, Azuay, Ecuador",-2.8683778,-79.0003799,REPORTADO,1,1,2,Despejado,Buena
95,2023-12-11,02:32,Colisión lateral,Azuay,Cuenca,"Calle Bolívar sector norte, Cuenca, Azuay, Ecuador",-2.8971349,-79.0317148,CERRADO,2,2,3,Despejado,Buena
96,2023-06-04,05:49,Colisión múltiple,Azuay,Cuenca,"Calle Ordóñez centro histórico, Cuenca, Azuay, Ecuador",-2.9407897,-78.9661784,ARCHIVADO,2,3,2,Neblina,Buena
97,2025-06-19,02:30,Colisión múltiple,Loja,Loja,"Av. España sector norte, Loja, Loja, Ecuador",-3.9689749,-79.1960139,REPORTADO,1,0,2,Despejado,Buena
98,2023-07-04,19:38,Salida de vía,Azuay,Cuenca,"Calle Ordóñez centro histórico, Cuenca, Azuay, Ecuador",-2.916197,-79.020979,REPORTADO,1,2,2,Despejado,Buena
99,2023-07-31,10:45,Colisión lateral,Azuay,Cuenca,"Av. Loja y Calle Solano, Cuenca, Azuay, Ecuador",-2.8775044,-78.966189,EN_INVESTIGACION,2,4,2,Cubierto,Buena
100,2024-11-23,21:38,Colisión frontal,Manabí,Manta,"Calle Sucre y Calle Solano, Manta, Manabí, Ecuador",-0.9444748,-80.6921075,CERRADO,0,2,1,Cubierto,Regular
101,2024-11-13,02:37,Atropello,Manabí,Portoviejo,"Calle Sucre sector norte, Portoviejo, Manabí, Ecuador",-1.0457781,-80.4802516,ARCHIVADO,0,2,1,Cubierto,Regular
102,2025-12-14,02:41,Salida de vía,Azuay,Cuenca,"Calle Sucre y Calle Solano, Cuenca, Azuay, Ecuador",-2.9339371,-78.9660446,CERRADO,1,4,2,Lluvia,Buena
103,2024-08-28,03:32,Colisión frontal,Loja,Loja,"Calle Sucre centro histórico, Loja, Loja, Ecuador",-3.9866143,-79.2334482,EN_INVESTIGACION,1,0,1,Cubierto,Regular
104,2023-03-31,13:23,Volcamiento,Manabí,Portoviejo,"Calle Ordóñez centro histórico, Portoviejo, Manabí, Ecuador",-1.0782117,-80.4454899,CERRADO,2,2,1,Despejado,Mala
105,2024-02-02,11:43,Colisión múltiple,Guayas,Durán,"Calle Ordóñez sector norte, Durán, Guayas, Ecuador",-2.2016975,-79.8406677,ARCHIVADO,1,1,1,Despejado,Regular
106,2025-09-11,11:35,Colisión lateral,Pichincha,Quito,"Calle Central sector norte, Quito, Pichincha, Ecuador",-0.1729026,-78.4370968,REPORTADO,2,0,3,Despejado,Buena
107,2025-07-12,11:59,Colisión frontal,El Oro,Machala,"Av. 10 de Agosto y Calle Solano, Machala, El Oro, Ecuador",-3.2489823,-79.9718438,ARCHIVADO,1,0,4,Despejado,Buena
108,2024-11-17,04:08,Colisión frontal,El Oro,Huaquillas,"Av. España sector sur, Huaquillas, El Oro, Ecuador",-3.4694346,-80.2386825,EN_INVESTIGACION,2,1,2,Lluvia,Buena
109,2025-12-16,13:07,Choque con objeto fijo,Azuay,Cuenca,"Calle Bolívar sector norte, Cuenca, Azuay, Ecuador",-2.91756,-78.9812509,REPORTADO,0,1,2,Cubierto,Buena
110,2023-02-03,20:32,Volcamiento,Manabí,Manta,"Av. Loja sector norte, Manta, Manabí, Ecuador",-0.958722,-80.6879466,ARCHIVADO,0,1,2,Despejado,Regular
111,2025-12-13,17:32,Colisión frontal,Azuay,Cuenca,"Av. 10 de Agosto sector sur, Cuenca, Azuay, Ecuador",-2.8843387,-78.9990691,REPORTADO,2,4,1,Despejado,Regular
112,2023-08-01,18:47,Caída de pasajero,Azuay,Cuenca,"Av. Loja y Calle Solano, Cuenca, Azuay, Ecuador",-2.9407325,-79.0191284,CERRADO,1,2,1,Lluvia,Buena
113,2023-10-04,02:45,Colisión múltiple,Azuay,Cuenca,"Av. Principal sector norte, Cuenca, Azuay, Ecuador",-2.9235798,-79.031501,EN_INVESTIGACION,0,0,1,Lluvia,Regular
114,2024-06-02,01:48,Volcamiento,Loja,Loja,"Av. España sector norte, Loja, Loja, Ecuador",-3.9646194,-79.2104141,REPORTADO,3,1,1,Despejado,Mala
115,2025-03-02,10:11,Colisión múltiple,Guayas,Guayaquil,"Calle Ordóñez sector norte, Guayaquil, Guayas, Ecuador",-2.1266726,-79.8673178,CERRADO,2,2,1,Cubierto,Regular
116,2023-06-13,10:42,Choque con objeto fijo,Azuay,Cuenca,"Av. España sector sur, Cuenca, Azuay, Ecuador",-2.8706189,-79.0056363,ARCHIVADO,0,1,2,Cubierto,Mala
117,2023-04-28,02:42,Salida de vía,Azuay,Cuenca,"Calle Sucre centro histórico, Cuenca, Azuay, Ecuador",-2.8924096,-79.0066482,EN_INVESTIGACION,4,0,2,Lluvia,Buena
118,2025-01-20,11:24,Colisión frontal,Azuay,Cuenca,"Av. Loja parque industrial, Cuenca, Azuay, Ecuador",-2.9305757,-78.9836548,ARCHIVADO,3,1,2,Cubierto,Regular
119,2024-05-26,03:01,Atropello,Azuay,Cuenca,"Calle Ordóñez centro histórico, Cuenca, Azuay, Ecuador",-2.9220228,-79.0534684,ARCHIVADO,3,0,2,Cubierto,Buena
120,2025-10-02,06:07,Atropello,Azuay,Cuenca,"Calle Central sector sur, Cuenca, Azuay, Ecuador",-2.8855528,-79.0381889,EN_INVESTIGACION,3,1,1,Cubierto,Regular
121,2023-05-13,17:34,Choque con objeto fijo,Azuay,Cuenca,"Av. España y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.8560541,-78.9605071,EN_INVESTIGACION,2,1,1,Despejado,Buena
122,2025-01-25,14:51,Atropello,Guayas,Guayaquil,"Calle Central y Calle Solano, Guayaquil, Guayas, Ecuador",-2.1230217,-79.9090746,CERRADO,1,2,2,Cubierto,Buena
123,2024-10-11,20:04,Colisión múltiple,Azuay,Cuenca,"Calle Ordóñez parque industrial, Cuenca, Azuay, Ecuador",-2.9485543,-78.9630681,CERRADO,0,2,2,Cubierto,Regular
124,2023-04-24,03:33,Atropello,Azuay,Cuenca,"Av. España y Av. González Suárez, Cuenca, Azuay, Ecuador",-2.9072816,-78.9592345,EN_INVESTIGACION,1,2,2,Lluvia,Mala
125,2024-07-16,04:40,Choque con objeto fijo,Pichincha,Quito,"Calle Central centro histórico, Quito, Pichincha, Ecuador",-0.1065208,-78.4113185,EN_INVESTIGACION,1,1,1,Cubierto,Mala
126,2023-03-26,00:05,Colisión frontal,Azuay,Gualaceo,"Av. España parque industrial, Gualaceo, Azuay, Ecuador",-2.905922,-78.7812961,EN_INVESTIGACION,2,1,2,Cubierto,Regular
127,2025-09-16,07:51,Salida de vía,Azuay,Paute,"Av. España sector sur, Paute, Azuay, Ecuador",-2.7727659,-78.7554923,REPORTADO,2,0,2,Cubierto,Buena
128,2024-10-15,23:55,Caída de pasajero,Azuay,Gualaceo,"Av. 10 de Agosto y Av. González Suárez, Gualaceo, Azuay, Ecuador",-2.9109203,-78.7744279,CERRADO,1,0,1,Despejado,Buena
129,2025-02-25,19:26,Volcamiento,Azuay,Cuenca,"Av. Loja sector norte, Cuenca, Azuay, Ecuador",-2.8564845,-78.986297,CERRADO,0,0,4,Cubierto,Mala
130,2025-03-16,16:29,Volcamiento,Azuay,Cuenca,"Calle Bolívar centro histórico, Cuenca, Azuay, Ecuador",-2.8930939,-79.0461824,CERRADO,0,0,2,Lluvia,Regular
131,2023-08-09,13:08,Choque con objeto fijo,Azuay,Cuenca,"Calle Sucre sector sur, Cuenca, Azuay, Ecuador",-2.8885993,-78.9568946,CERRADO,0,0,2,Despejado,Buena
132,2024-07-26,19:43,Colisión lateral,Azuay,Cuenca,"Av. Loja y Calle Solano, Cuenca, Azuay, Ecuador",-2.9360916,-79.004067,ARCHIVADO,1,4,2,Despejado,Buena
133,2023-03-24,01:02,Atropello,Azuay,Cuenca,"Calle Sucre sector sur, Cuenca, Azuay, Ecuador",-2.8623627,-78.9818231,ARCHIVADO,0,3,1,Lluvia,Buena
134,2024-09-04,18:21,Colisión múltiple,Azuay,Cuenca,"Av. España sector sur, Cuenca, Azuay, Ecuador",-2.8803984,-78.9856516,REPORTADO,1,2,4,Cubierto,Regular
135,2023-02-24,19:30,Choque con objeto fijo,Guayas,Guayaquil,"Calle Bolívar parque industrial, Guayaquil, Guayas, Ecuador",-2.2118814,-79.9213253,REPORTADO,1,0,2,Cubierto,Regular
136,2023-03-06,18:44,Colisión lateral,Azuay,Cuenca,"Calle Bolívar y Calle Solano, Cuenca, Azuay, Ecuador",-2.8691639,-78.9748887,ARCHIVADO,1,0,2,Cubierto,Regular
137,2023-05-08,22:08,Volcamiento,Manabí,Portoviejo,"Calle Sucre parque industrial, Portoviejo, Manabí, Ecuador",-1.0322757,-80.4305056,ARCHIVADO,1,1,1,Lluvia,Buena
